artistUsername,companyID
bwildor0,1
stomblett1,2
torton2,3
isteuart3,4
abattams4,5
mmargiotta5,6
kperch6,7
koatley7,8
rgarmey8,9
smcphater9,10
spartona,11
dmackayb,12
rharrowingc,13
osnowlingd,14
mmcilorye,15
twiddowfieldf,16
ldjakovicg,17
nsouthcotth,18
bsparhami,19
mjefferysj,20
edomnink,21
ireyburnl,22
kfirbym,23
ebarzenn,24
atwohigo,25
rwitnallp,26
rgandersq,27
mklementr,28
gbirdwistles,29
gbrasset,30
wgronalleru,31
eizchakiv,32
llusherw,33
civattx,34
gelstoby,35
tlinez,36
bsparhawk10,37
adenisevich11,38
opapaccio12,39
pmillhill13,40
ktroak14,41
chamson15,42
dhamnet16,43
escotts17,44
tganders18,45
wworham19,46
nscaddon1a,47
dchiese1b,48
rlaugherane1c,49
gcroser1d,50
mpandie1e,51
cschmidt1f,52
ascotcher1g,53
aduxfield1h,54
mbiggin1i,55
bwanjek1j,56
mwillgrass1k,57
athombleson1l,58
pcawthron1m,59
awilde1n,60
browat1o,61
pludwig1p,62
rbrogi1q,63
opember1r,64
rworms1s,65
cgrimmert1t,66
tdavio1u,67
glippitt1v,68
nrudgard1w,69
csimms1x,70
evickar1y,71
lpostians1z,72
rsimyson20,73
ndanet21,74
hfrend22,75
glombardo23,76
cfilyushkin24,77
ncanadine25,78
fgorton26,79
mgrimsdell27,80
sfacey28,81
jveck29,82
istudders2a,83
rhalwill2b,84
spyford2c,85
alandell2d,86
elomasny2e,87
gvannucci2f,88
mbassford2g,89
smcdermot2h,90
jnipper2i,91
abackman2j,92
gnoah2k,93
rgoldberg2l,94
ngoutcher2m,95
bonians2n,96
pmacailine2o,97
skillingsworth2p,98
oflaws2q,99
ilarn2r,100
