artistUsername,companyID
809,670
365,417
18,142
309,813
871,415
342,470
282,230
333,935
309,492
538,781
880,609
396,213
843,529
428,692
322,835
501,775
373,232
587,432
805,739
576,483
790,463
403,627
875,428
142,570
532,433
711,791
452,214
78,783
937,759
111,357
449,775
98,30
743,749
386,44
15,729
741,294
195,98
794,884
978,934
533,940
211,947
180,966
929,43
422,225
164,30
518,186
918,664
421,622
373,616
494,345
618,461
453,835
650,895
574,659
70,916
541,402
25,417
645,680
167,5
965,168
149,324
764,68
760,910
203,472
483,524
557,966
844,140
198,255
752,200
177,996
157,944
518,507
585,45
894,187
817,61
415,982
175,359
254,365
170,44
644,522
157,422
872,916
718,484
889,204
7,352
423,948
975,643
886,342
646,492
197,495
810,298
77,5
407,199
567,777
876,860
676,646
237,903
905,328
842,435
362,753
