songID,userUsername
848,845
654,388
673,671
287,788
155,526
579,461
572,47
637,722
262,140
368,937
964,52
949,87
657,435
360,803
586,667
398,959
477,116
457,138
473,992
928,149
788,37
525,775
982,107
87,185
684,188
836,230
649,853
123,21
304,810
364,896
501,195
521,923
630,341
224,890
149,136
242,235
325,756
482,997
164,251
695,50
781,213
558,17
579,400
296,545
734,244
194,869
3,600
16,872
113,307
755,122
176,239
603,369
90,28
311,232
706,969
145,896
563,547
520,285
491,270
112,237
36,661
180,468
633,513
542,485
515,299
415,122
715,461
63,297
627,706
760,202
805,685
756,995
251,666
93,204
286,617
127,230
587,309
422,805
444,697
245,575
76,318
361,630
829,555
484,818
572,886
129,590
650,301
803,359
707,322
592,65
507,319
70,267
996,785
289,234
340,80
920,171
228,380
115,861
274,355
969,49
369,360
43,841
255,224
293,428
643,693
512,331
417,337
828,633
34,212
633,513
406,568
826,402
375,338
144,388
558,602
400,944
552,326
514,449
503,385
348,61
57,358
534,378
791,169
713,140
238,39
861,46
855,2
342,241
608,302
926,953
691,646
943,529
770,859
734,292
910,187
680,181
274,466
346,604
399,763
677,68
458,921
769,347
668,342
602,684
330,649
477,986
364,403
609,111
387,654
887,201
424,893
433,175
343,437
491,617
385,48
700,295
234,715
6,406
660,985
774,654
918,570
901,274
598,421
692,314
671,96
465,187
965,394
795,3
821,297
346,552
863,638
448,886
468,103
588,477
78,583
395,266
565,364
281,404
393,127
43,334
915,765
223,736
2,41
92,990
627,576
45,169
898,946
407,465
459,76
656,311
969,562
147,672
69,198
893,216
708,525
307,879
510,776
108,86
467,339
727,870
292,509
71,194
616,584
915,148
320,477
507,387
769,320
337,580
448,211
960,548
192,228
804,161
276,890
987,294
277,664
836,323
55,218
589,893
531,122
429,921
13,157
367,792
270,832
403,66
40,2
449,661
57,197
744,613
544,900
482,660
876,822
25,885
294,74
281,778
55,690
390,48
795,486
715,506
529,997
785,861
382,82
696,534
624,617
723,283
548,94
448,128
914,399
244,142
768,43
247,325
7,605
505,210
535,783
28,915
551,869
635,963
599,181
183,316
89,155
455,835
916,342
961,529
155,335
350,256
391,50
398,704
999,71
315,568
828,827
466,436
112,459
524,940
242,384
567,267
548,551
123,774
175,1
652,447
716,322
237,54
371,911
659,640
247,143
605,972
420,461
236,291
610,292
291,32
960,814
643,177
594,773
271,528
76,623
851,658
735,512
456,360
173,286
588,120
590,188
68,464
130,343
336,53
870,871
681,676
857,518
718,872
471,913
945,764
814,317
37,303
716,193
171,620
449,857
317,530
536,957
805,281
276,226
748,583
188,799
15,863
706,443
80,13
916,551
683,389
840,665
185,985
438,290
149,755
743,6
239,58
725,992
950,596
516,686
87,945
619,365
451,405
200,615
484,856
81,995
357,271
719,936
306,941
332,771
857,800
993,411
303,602
320,120
869,952
204,64
844,677
133,350
125,311
208,969
374,297
917,433
282,658
228,871
6,190
275,211
110,751
724,286
681,946
994,92
480,419
975,512
390,596
68,137
307,306
206,687
650,446
597,954
673,252
116,922
268,913
736,379
296,420
202,846
929,179
135,793
451,935
366,383
196,976
341,773
444,1000
41,983
387,27
637,258
571,575
529,208
473,842
261,609
337,364
180,667
192,768
42,190
928,813
765,789
920,513
917,95
313,307
541,837
421,504
527,675
141,629
592,866
735,972
324,732
615,359
625,872
236,514
881,37
122,431
614,405
3,142
812,161
995,503
935,274
474,783
81,921
360,246
835,645
999,172
654,529
270,692
756,545
115,257
263,136
535,874
872,928
112,563
241,91
343,224
359,474
736,745
840,945
451,477
84,75
322,904
156,262
543,14
405,494
391,424
800,598
776,810
362,142
663,591
426,793
428,787
206,118
732,269
875,3
517,28
72,660
71,556
903,88
229,419
569,394
910,136
589,725
616,221
994,876
493,746
668,420
707,642
881,61
104,675
129,246
262,264
132,820
531,267
565,386
521,589
387,524
585,737
833,270
94,414
784,559
628,116
673,15
511,409
344,211
336,131
116,516
241,514
273,544
696,38
831,597
657,991
255,105
398,426
318,680
538,875
801,583
222,151
766,482
16,77
356,239
712,405
668,233
960,667
496,862
90,67
401,199
969,558
970,728
865,874
843,473
766,703
303,751
171,841
203,935
526,684
367,491
624,582
445,917
267,348
725,490
769,156
224,413
76,49
7,504
493,792
347,484
173,104
183,959
563,209
576,631
225,813
434,263
1,861
700,847
561,334
862,679
974,463
236,970
407,205
208,345
206,341
721,719
514,381
287,595
468,356
53,278
239,44
393,678
132,702
86,246
343,355
553,527
250,315
511,857
368,569
624,588
720,937
18,415
788,202
797,643
246,449
232,190
389,385
473,338
745,161
523,506
30,553
57,362
134,128
913,947
449,223
664,993
637,631
222,314
951,545
306,493
889,897
416,812
235,726
288,835
562,901
65,420
585,229
384,459
379,138
277,320
860,432
522,519
812,288
179,163
250,529
34,282
292,333
667,730
971,106
657,442
797,454
437,290
475,277
220,17
446,877
128,376
891,710
213,16
355,792
628,575
294,832
540,829
497,307
50,58
755,136
463,468
382,810
2,463
998,679
638,235
973,708
528,157
114,536
814,421
989,129
788,481
76,72
346,90
583,13
717,787
658,659
700,15
36,27
537,406
655,489
762,506
628,514
342,903
56,914
173,296
870,999
672,473
648,33
795,172
292,642
153,47
451,94
408,391
934,872
100,344
895,626
172,690
187,244
756,425
127,885
971,794
432,512
705,200
291,339
753,620
731,709
248,631
198,224
494,606
955,838
91,133
678,461
134,700
128,616
363,308
140,625
754,217
677,15
491,797
3,20
96,166
870,801
82,781
78,73
848,701
607,704
710,806
228,682
348,986
781,928
610,400
965,811
301,293
163,716
457,142
980,650
170,268
806,377
287,481
549,15
900,472
681,543
10,509
649,197
639,696
198,841
53,901
288,805
511,759
701,205
140,553
371,81
588,618
813,939
124,966
537,166
906,558
651,859
324,213
937,776
801,652
96,712
406,643
879,453
171,235
871,627
709,903
544,680
574,868
742,479
835,887
547,154
572,30
278,584
34,902
606,992
53,383
844,817
767,500
146,708
902,566
873,690
408,99
220,343
697,410
27,289
221,291
330,283
888,572
169,912
887,636
662,750
937,526
143,559
480,737
881,466
436,83
558,789
455,552
890,671
608,9
866,620
679,809
139,827
164,874
254,801
340,961
383,625
921,922
527,636
783,998
357,235
296,351
492,556
781,233
963,798
128,981
594,477
299,493
647,745
715,251
733,651
699,457
364,348
11,568
752,923
290,538
166,632
342,364
420,573
578,470
723,30
1000,776
460,70
803,256
409,714
379,65
605,242
133,325
583,122
988,569
49,565
190,546
811,372
292,348
487,415
195,462
790,577
299,814
603,90
228,837
989,299
566,582
81,709
658,138
855,536
184,216
522,531
614,80
236,140
135,33
867,521
3,742
244,365
434,342
832,28
570,655
511,524
999,617
414,16
620,84
348,746
365,673
953,767
145,947
788,34
744,536
108,392
562,258
688,344
234,627
283,624
450,212
182,13
96,891
958,217
37,469
268,426
728,550
385,809
208,403
605,658
117,291
122,159
23,656
75,100
871,272
878,423
588,515
990,823
338,886
273,468
822,615
529,622
925,80
624,819
281,779
345,475
25,552
914,754
961,343
877,131
316,957
456,520
963,68
720,838
257,182
202,601
248,711
900,290
195,20
233,624
663,500
991,710
355,214
234,630
96,757
225,800
642,322
132,521
386,714
86,383
914,951
332,397
749,863
179,373
824,164
263,978
894,476
948,292
196,437
594,96
524,998
279,610
724,6
722,662
109,913
277,175
295,160
419,146
276,57
680,118
727,265
413,107
408,865
645,203
573,798
283,601
527,673
395,947
811,568
306,379
518,991
137,914
901,348
443,624
808,70
24,164
570,360
405,207
76,939
501,293
766,94
113,760
355,253
178,692
312,734
490,598
799,517
713,688
360,753
610,494
979,732
297,231
649,881
760,440
123,451
383,24
36,841
295,636
116,872
231,541
528,185
769,252
389,414
490,249
933,514
559,631
906,836
538,557
19,604
541,579
31,42
133,18
508,856
170,124
526,656
365,129
76,901
941,970
219,517
183,394
589,634
195,197
516,448
770,888
367,511
611,727
330,178
682,784
872,729
585,454
599,669
39,919
859,109
145,192
874,811
607,765
983,165
203,684
895,365
635,910
566,694
752,722
695,72
644,307
171,538
119,573
829,6
478,506
893,24
989,441
846,732
76,594
157,141
830,209
286,237
803,601
61,438
914,925
1,742
4,604
